"HL_1mMNO3_1"	"HL_1mMNO3_2"	"HL_1mMNO3_3"	"HL_1mMNO3_4"	"HL_10mMNO3_1"	"HL_10mMNO3_2"	"HL_10mMNO3_3"	"HL_10mMNO3_4"	"LL_1mMNO3_1"	"LL_1mMNO3_2"	"LL_1mMNO3_3"	"LL_1mMNO3_4"	"LL_10mMNO3_1"	"LL_10mMNO3_2"	"LL_10mMNO3_3"	"LL_10mMNO3_4"
"neoxanthin"	3.945	3.81	3.786	3.948	5.899	6.018	6.124	6.181	5.421	5.228	5.303	5.398	7.491	7.402	7.685	6.842
"unknown_1"	0.728	0.469	0.379	0.625	0.697	0.739	0.92	0.885	1.523	1.446	1.577	1.532	3.042	2.839	3.063	3.05
"violaxanthin"	3.885	3.009	3.274	3.337	7.636	7.674	7.269	7.558	7.193	6.901	7.817	8.361	6.52	6.591	6.634	6.455
"astaxanthin"	3.486	2.266	2.388	2.48	0.132	0.147	0.184	0.301	0.97	0.808	1.005	1.172	0.057	0.046	0.171	0.13
"antheraxantion"	2.336	1.947	2.187	3.201	0.448	0.519	0.559	0.425	1.302	1.119	0.894	1.289	0.167	0.205	0.186	0.197
"unknown_2"	1.747	1.929	1.764	1.918	0.146	0.138	0.19	0.07	0.713	0.78	0.482	0.771	0.021	0.069	0.026	0.054
"lutein"	18.908	21.897	21.612	20.479	19.769	19.961	19.386	19.821	20.408	19.924	19.142	20.228	16.566	16.279	16.508	16.099
"zeaxanthin"	4.165	4.202	3.747	4.184	0	0	0	0	1.234	1.12	1.329	0.958	0	0	0	0
"unknown_3"	1.122	0.963	1.125	1.212	0.79	0.738	0.985	0.932	0.975	0.998	1.257	1.445	0.748	0.639	0.657	0.823
"canthaxantin"	1.868	1.835	1.778	1.894	0.083	0.032	0	0.008	0.646	0.875	0.725	0.608	0	0.019	0.006	0.067
"canthaxantin_2"	0.942	0.5	0.517	0.636	0.113	0	0.068	0.03	0.218	0.493	0.378	0.141	0.154	0.049	0.037	0.091
"chlorophyll_B"	6.763	6.53	6.144	6.193	10.04	9.55	9.48	8.814	8.408	8.352	7.985	6.873	10.563	10.523	9.99	9.74
"chlorophyll_B_2"	0.919	1.293	1.363	1.299	1.315	1.823	2.111	2.144	1.268	1.496	1.628	1.664	1.787	2.117	2.139	2.361
"chlorophyll_A"	23.245	25.778	24.832	24.006	40.258	40.08	38.439	36.179	33.37	32.592	30.959	30.855	40.144	40.744	40.397	35.825
"chlorophyll_A_2"	1.488	1.911	2.542	2.261	1.075	1.77	2.885	5.712	1.384	1.662	2.175	4.104	1.607	2.024	2.092	6.416
"astaxanthin_esterified"	5.339	5.637	5.44	5.76	0.329	0.186	0.311	0.044	2.14	2.439	2.259	1.897	0.236	0.118	0.138	0.164
"adonixanthin"	2.567	2.675	2.591	2.624	0.373	0.122	0.142	0.021	1.049	1.417	1.212	1.045	0	0.075	0	0.24
"a-carotene"	0.847	0.704	0.827	0.535	1.495	1.579	1.472	1.304	1.537	0.972	0.957	0.944	2.154	2.026	1.693	1.751
"b-carotene"	4.792	5.136	5.435	4.707	5.786	5.809	5.685	5.689	5.518	5.425	5.374	5.799	5.128	5.188	5.139	5.072
